GEOID,NAME,District,County,Enrollment,prcnt_enrolled_lunch,Count_providers_253min_mean,Count_providers_253min_median,Count_providers_253min_majority,Lunch_Class,Prov_Class,Bi_Class,Color
2800185,West Bolivar Consolidated School District,West Bolivar Consolidated School District,Bolivar County,1110,100,2.069543147,2,2,3,C,C3,D23C8B
2800186,North Bolivar Consolidated School District,North Bolivar Consolidated School District,Bolivar County,920,100,2.484752892,2,2,3,C,C3,D23C8B
2800187,Sunflower County Consolidated School District,Sunflower County Consolidated School District,Sunflower County,3455,100,2.306140879,2,2,3,C,C3,D23C8B
2800189,Starkville Oktibbeha Consolidated School District,Starville Oktibbeha Consolidated School District,Oktibbeha County,5061,73,2.792349727,2,2,2,C,C2,F3B8DE
2800390,Alcorn School District,Alcorn School District ,Alcorn County,3203,59,2.417445483,2,2,1,C,C1,F7F7F7
2801020,Claiborne County School District,Claiborne County School District,Claiborne County,1374,100,2.214379085,2,2,3,C,C3,D23C8B
2801260,Corinth School District,Corinth School District,Alcorn County,2678,61,3.185606061,3,3,1,B,B1,BAE08A
2803210,North Panola School District,North Panola School District,Panola County,1405,100,2.337037037,2,2,3,C,C3,D23C8B
2804800,Yazoo County School District,Yazoo County School District,Yazoo County,1500,92,2.073943662,2,2,3,C,C3,D23C8B
2800191,West Point Consolidated School District,West Point School District,Clay County,2944,100,2.434135977,2,2,3,C,C3,D23C8B
2800195,Holmes County Consolidated School District,Holmes County Consolidated School District,Holmes County,2965,100,2.261664565,2,2,3,C,C3,D23C8B
2800196,Winona-Montgomery County Consolidated School District,Winona-Montgomery Consolidated School District,Montgomery County,1270,100,2.477129338,2,2,3,C,C3,D23C8B
2800360,Aberdeen School District,Aberdeen School District,Monroe County,1114,100,2.334866605,2,2,3,C,C3,D23C8B
2800450,Amory School District,Amory School District,Monroe County,1605,63,2.762086514,2,2,2,C,C2,F3B8DE
2800420,Amite County School District,Amite County School District ,Amite County,929,100,2.73488045,3,3,3,B,B3,AE4072
2800510,Attala County School District,Attala County School District ,Attala County,1046,86,2.057899902,2,2,3,C,C3,D23C8B
2800540,Baldwyn School District,Baldwyn Public School District ,Prentiss County,761,73,2.630813953,2,2,2,C,C2,F3B8DE
2800570,Bay St. Louis School District,Bay St. Louis-Waveland School District ,Hancock County,1767,91,4.443548387,5,5,3,A,A3,8D6158
2801140,Coffeeville School District,Coffeeville School Distrcit,Yalobusha County,464,100,2.034988713,2,2,3,C,C3,D23C8B
2801740,Hancock County School District,Hancock County School District,Hancock County,4437,66,3.115784008,3,3,2,B,B2,A78981
2803030,Natchez-Adams School District,Natchez-Adams School District,Adams County,3104,100,2.799439776,2,2,3,C,C3,D23C8B
2803630,Picayune School District,Picayune School District,Pearl River County,3482,100,4.266045549,4,5,3,A,A3,8D6158
2804290,Tunica County School District,Tunica County School District,Tunica County,1883,100,2.233315247,2,2,3,C,C3,D23C8B
2800600,Benton County School District,Benton County School District ,Benton County,1019,88,2.202059202,2,2,3,C,C3,D23C8B
2800630,Biloxi Public School District,Biloxi Public School District ,Harrison County,6309,67,3.981528128,4,5,2,A,A2,698844
2800750,Cleveland School District,Cleveland School District,Bolivar County,3352,87,2.817712812,3,2,3,B,B3,AE4072
2800820,Booneville School District,Booneville School District ,Prentiss County,1290,53,3.373134328,3,3,1,B,B1,BAE08A
2803690,Pontotoc City Schools,Pontotoc City Schools,Pontotoc County,2330,65,2.641618497,2,2,2,C,C2,F3B8DE
2800840,Brookhaven School District,Brookhaven School District ,Lincoln County,2822,74,3.150268336,3,2,2,B,B2,A78981
2802640,Lincoln County School District,Lincoln County School District,Lincoln County,2950,59,2.408679928,2,2,1,C,C1,F7F7F7
2800870,Calhoun County School District,Calhoun County School District,Calhoun County,2381,80,2.796849088,2,2,2,C,C2,F3B8DE
2800900,Canton Public School District,Canton Public School District ,Madison County,3350,100,3.272613065,3,2,3,B,B3,AE4072
2800930,Carroll County School District,Carrol County School District,Carrol County,923,92,2.124798712,2,2,3,C,C3,D23C8B
2800960,Chickasaw County School District,Chickasaw County School District,Chickasaw County,512,99,1.991452991,2,2,3,C,C3,D23C8B
2800990,Choctaw County School District,Choctaw County School District,Choctaw County,1278,69,2.351020408,2,2,2,C,C2,F3B8DE
2801050,Clarksdale Municipal School District,Clarksdale Municipal School District,Coahoma County,2294,100,3.554545455,4,4,3,A,A3,8D6158
2802310,Kemper County School District,Kemper County School District,Kemper County,929,100,2.021842355,2,2,3,C,C3,D23C8B
